Date,Season,Road Team,,,Home Team,,Results,
"November 11, 1996",1996-97,Edmonton Oilers,2,@,Montreal Canadiens,3,W (OT),summary
"November 13, 1996",1996-97,Florida Panthers,5,@,Montreal Canadiens,3,L,summary
"November 15, 1996",1996-97,Montreal Canadiens,1,@,Washington Capitals,3,L,summary
"November 16, 1996",1996-97,Vancouver Canucks,1,@,Montreal Canadiens,6,W,summary
"November 20, 1996",1996-97,Montreal Canadiens,1,@,Hartford Whalers,3,L,summary
"November 21, 1996",1996-97,Montreal Canadiens,6,@,Boston Bruins,2,W,summary
"November 23, 1996",1996-97,Montreal Canadiens,4,@,Toronto Maple Leafs,3,W,summary
"November 25, 1996",1996-97,Tampa Bay Lightning,2,@,Montreal Canadiens,4,W,summary
"November 27, 1996",1996-97,Montreal Canadiens,2,@,Pittsburgh Penguins,2,T,summary
"November 30, 1996",1996-97,Washington Capitals,2,@,Montreal Canadiens,0,L,summary
"December 01, 1996",1996-97,Montreal Canadiens,2,@,New York Rangers,6,L,summary
"December 04, 1996",1996-97,Boston Bruins,4,@,Montreal Canadiens,3,L,summary
"December 06, 1996",1996-97,Montreal Canadiens,3,@,Chicago Blackhawks,1,W,summary
"December 07, 1996",1996-97,Chicago Blackhawks,2,@,Montreal Canadiens,3,W,summary
"December 11, 1996",1996-97,Buffalo Sabres,3,@,Montreal Canadiens,2,L (OT),summary
"December 14, 1996",1996-97,Montreal Canadiens,3,@,New Jersey Devils,3,T,summary
"December 16, 1996",1996-97,Tampa Bay Lightning,4,@,Montreal Canadiens,2,L,summary
"December 21, 1996",1996-97,New York Rangers,3,@,Montreal Canadiens,2,L (OT),summary
"December 23, 1996",1996-97,Ottawa Senators,6,@,Montreal Canadiens,0,L,summary
"December 26, 1996",1996-97,Montreal Canadiens,3,@,Pittsburgh Penguins,3,T,summary
"December 28, 1996",1996-97,Montreal Canadiens,4,@,Tampa Bay Lightning,4,T,summary
"December 29, 1996",1996-97,Montreal Canadiens,2,@,Florida Panthers,1,W,summary
"January 01, 1997",1996-97,Montreal Canadiens,6,@,Dallas Stars,4,W,summary
"January 02, 1997",1996-97,Montreal Canadiens,2,@,St.Louis Blues,2,T,summary
"January 04, 1997",1996-97,New York Islanders,1,@,Montreal Canadiens,3,W,summary
"January 06, 1997",1996-97,Hartford Whalers,4,@,Montreal Canadiens,5,W,summary
"January 09, 1997",1996-97,Montreal Canadiens,4,@,Boston Bruins,5,L,summary
"January 11, 1997",1996-97,Boston Bruins,3,@,Montreal Canadiens,6,W,summary
"January 13, 1997",1996-97,Dallas Stars,2,@,Montreal Canadiens,1,L,summary
"January 14, 1997",1996-97,Montreal Canadiens,2,@,Philadelphia Flyers,3,L,summary
"January 20, 1997",1996-97,Detroit Red Wings,1,@,Montreal Canadiens,4,W,summary
"January 22, 1997",1996-97,Montreal Canadiens,1,@,Buffalo Sabres,6,L,summary
"January 25, 1997",1996-97,St.Louis Blues,8,@,Montreal Canadiens,1,L,summary
"January 26, 1997",1996-97,Pittsburgh Penguins,5,@,Montreal Canadiens,2,L,summary
"January 28, 1997",1996-97,Montreal Canadiens,1,@,Florida Panthers,5,L,summary
"January 30, 1997",1996-97,Montreal Canadiens,4,@,Tampa Bay Lightning,1,W,summary
"February 01, 1997",1996-97,New Jersey Devils,4,@,Montreal Canadiens,4,T,summary
"February 03, 1997",1996-97,Florida Panthers,2,@,Montreal Canadiens,2,T,summary
"February 05, 1997",1996-97,Pittsburgh Penguins,6,@,Montreal Canadiens,3,L,summary
"February 06, 1997",1996-97,Montreal Canadiens,5,@,Philadelphia Flyers,9,L,summary
"February 08, 1997",1996-97,Hartford Whalers,2,@,Montreal Canadiens,3,W (OT),summary
"February 10, 1997",1996-97,San Jose Sharks,2,@,Montreal Canadiens,4,W,summary
"February 12, 1997",1996-97,Montreal Canadiens,2,@,Buffalo Sabres,2,T,summary
"February 15, 1997",1996-97,New Jersey Devils,4,@,Montreal Canadiens,1,L,summary
"February 17, 1997",1996-97,Montreal Canadiens,4,@,New York Islanders,1,W,summary
"February 22, 1997",1996-97,Toronto Maple Leafs,5,@,Montreal Canadiens,1,L,summary
"February 25, 1997",1996-97,Montreal Canadiens,4,@,Vancouver Canucks,2,W,summary
"February 28, 1997",1996-97,Montreal Canadiens,2,@,Calgary Flames,3,L,summary
"March 01, 1997",1996-97,Montreal Canadiens,5,@,Edmonton Oilers,4,W,summary
"March 05, 1997",1996-97,Colorado Avalanche,7,@,Montreal Canadiens,3,L,summary
"March 07, 1997",1996-97,Montreal Canadiens,0,@,Hartford Whalers,2,L,summary
"March 08, 1997",1996-97,Buffalo Sabres,3,@,Montreal Canadiens,3,T,summary
"March 10, 1997",1996-97,Montreal Canadiens,2,@,Pittsburgh Penguins,2,T,summary
"March 13, 1997",1996-97,Montreal Canadiens,3,@,Boston Bruins,0,W,summary
"March 15, 1997",1996-97,Ottawa Senators,2,@,Montreal Canadiens,2,T,summary
"March 19, 1997",1996-97,Montreal Canadiens,5,@,New York Rangers,4,W,summary
"March 22, 1997",1996-97,Washington Capitals,3,@,Montreal Canadiens,1,L,summary
"March 24, 1997",1996-97,Boston Bruins,1,@,Montreal Canadiens,3,W,summary
"March 26, 1997",1996-97,Pittsburgh Penguins,5,@,Montreal Canadiens,8,W,summary
"March 29, 1997",1996-97,Montreal Canadiens,2,@,Ottawa Senators,5,L,summary
"April 02, 1997",1996-97,Montreal Canadiens,4,@,Hartford Whalers,1,W,summary
"April 05, 1997",1996-97,Hartford Whalers,4,@,Montreal Canadiens,1,L,summary
"April 07, 1997",1996-97,New York Islanders,1,@,Montreal Canadiens,2,W,summary
"April 09, 1997",1996-97,Montreal Canadiens,3,@,New York Islanders,1,W,summary
"April 10, 1997",1996-97,Montreal Canadiens,2,@,Washington Capitals,3,L,summary
"April 12, 1997",1996-97,Philadelphia Flyers,3,@,Montreal Canadiens,3,T,summary
1-Oct-97,1997-98,Ottawa Senators,2,@,Montreal Canadiens,2,T,summary
4-Oct-97,1997-98,Montreal Canadiens,4,@,Boston Bruins,1,W,summary
8-Oct-97,1997-98,Montreal Canadiens,3,@,Pittsburgh Penguins,0,W,summary
11-Oct-97,1997-98,Philadelphia Flyers,6,@,Montreal Canadiens,2,L,summary
15-Oct-97,1997-98,Pittsburgh Penguins,1,@,Montreal Canadiens,1,T,summary
17-Oct-97,1997-98,Montreal Canadiens,5,@,Buffalo Sabres,1,W,summary
18-Oct-97,1997-98,Washington Capitals,3,@,Montreal Canadiens,2,L,summary
22-Oct-97,1997-98,Florida Panthers,0,@,Montreal Canadiens,3,W,summary
23-Oct-97,1997-98,Montreal Canadiens,1,@,New Jersey Devils,2,L (OT),summary
25-Oct-97,1997-98,Montreal Canadiens,4,@,Ottawa Senators,2,W,summary
27-Oct-97,1997-98,Chicago Blackhawks,2,@,Montreal Canadiens,4,W,summary
29-Oct-97,1997-98,New York Islanders,5,@,Montreal Canadiens,2,L,summary
1-Nov-97,1997-98,Toronto Maple Leafs,1,@,Montreal Canadiens,5,W,summary
3-Nov-97,1997-98,Dallas Stars,4,@,Montreal Canadiens,6,W,summary
5-Nov-97,1997-98,Phoenix Coyotes,2,@,Montreal Canadiens,4,W,summary
7-Nov-97,1997-98,Montreal Canadiens,4,@,San Jose Sharks,3,W,summary
8-Nov-97,1997-98,Montreal Canadiens,4,@,Los Angeles Kings,1,W,summary
12-Nov-97,1997-98,Montreal Canadiens,4,@,Anaheim Mighty Ducks,3,W (OT),summary
13-Nov-97,1997-98,Montreal Canadiens,5,@,Phoenix Coyotes,2,W,summary
15-Nov-97,1997-98,Washington Capitals,3,@,Montreal Canadiens,2,L,summary
17-Nov-97,1997-98,Tampa Bay Lightning,1,@,Montreal Canadiens,4,W,summary
19-Nov-97,1997-98,Montreal Canadiens,1,@,Carolina Hurricanes,2,L,summary
22-Nov-97,1997-98,Detroit Red Wings,5,@,Montreal Canadiens,2,L,summary
24-Nov-97,1997-98,San Jose Sharks,2,@,Montreal Canadiens,2,T,summary
26-Nov-97,1997-98,Montreal Canadiens,6,@,Washington Capitals,5,W,summary
28-Nov-97,1997-98,Montreal Canadiens,0,@,Detroit Red Wings,2,L,summary
29-Nov-97,1997-98,Montreal Canadiens,3,@,Pittsburgh Penguins,6,L,summary
1-Dec-97,1997-98,Pittsburgh Penguins,1,@,Montreal Canadiens,0,L,summary
3-Dec-97,1997-98,Los Angeles Kings,0,@,Montreal Canadiens,2,W,summary
6-Dec-97,1997-98,New York Rangers,3,@,Montreal Canadiens,3,T,summary
8-Dec-97,1997-98,Colorado Avalanche,2,@,Montreal Canadiens,4,W,summary
10-Dec-97,1997-98,St.Louis Blues,3,@,Montreal Canadiens,4,W (OT),summary
12-Dec-97,1997-98,Montreal Canadiens,2,@,New Jersey Devils,5,L,summary
13-Dec-97,1997-98,Montreal Canadiens,2,@,Boston Bruins,4,L,summary
15-Dec-97,1997-98,Philadelphia Flyers,3,@,Montreal Canadiens,1,L,summary
19-Dec-97,1997-98,Montreal Canadiens,0,@,Buffalo Sabres,1,L,summary
20-Dec-97,1997-98,Ottawa Senators,1,@,Montreal Canadiens,4,W,summary
22-Dec-97,1997-98,Edmonton Oilers,3,@,Montreal Canadiens,3,T,summary
23-Dec-97,1997-98,Montreal Canadiens,3,@,Ottawa Senators,4,L (OT),summary
27-Dec-97,1997-98,Montreal Canadiens,1,@,Pittsburgh Penguins,0,W,summary
29-Dec-97,1997-98,Montreal Canadiens,1,@,Colorado Avalanche,1,T,summary
31-Dec-97,1997-98,Montreal Canadiens,3,@,Calgary Flames,2,W,summary
2-Jan-98,1997-98,Montreal Canadiens,5,@,Edmonton Oilers,3,W,summary
3-Jan-98,1997-98,Montreal Canadiens,4,@,Vancouver Canucks,2,W,summary
7-Jan-98,1997-98,Boston Bruins,2,@,Montreal Canadiens,1,L (OT),summary
8-Jan-98,1997-98,Montreal Canadiens,8,@,New York Islanders,2,W,summary
12-Jan-98,1997-98,Montreal Canadiens,6,@,Tampa Bay Lightning,3,W,summary
14-Jan-98,1997-98,Montreal Canadiens,3,@,Philadelphia Flyers,3,T,summary
21-Jan-98,1997-98,Boston Bruins,2,@,Montreal Canadiens,4,W,summary
24-Jan-98,1997-98,Carolina Hurricanes,4,@,Montreal Canadiens,3,L,summary
25-Jan-98,1997-98,New Jersey Devils,3,@,Montreal Canadiens,1,L,summary
29-Jan-98,1997-98,Montreal Canadiens,3,@,Philadelphia Flyers,2,W,summary
31-Jan-98,1997-98,Ottawa Senators,4,@,Montreal Canadiens,3,L,summary
1-Feb-98,1997-98,Montreal Canadiens,6,@,Carolina Hurricanes,3,W,summary
4-Feb-98,1997-98,Montreal Canadiens,2,@,New York Islanders,4,L,summary
7-Feb-98,1997-98,Buffalo Sabres,4,@,Montreal Canadiens,1,L,summary
25-Feb-98,1997-98,Pittsburgh Penguins,6,@,Montreal Canadiens,2,L,summary
28-Feb-98,1997-98,Montreal Canadiens,0,@,Toronto Maple Leafs,4,L,summary
4-Mar-98,1997-98,Montreal Canadiens,3,@,Dallas Stars,1,W,summary
5-Mar-98,1997-98,Montreal Canadiens,0,@,St.Louis Blues,4,L,summary
7-Mar-98,1997-98,Buffalo Sabres,2,@,Montreal Canadiens,1,L,summary
9-Mar-98,1997-98,Florida Panthers,1,@,Montreal Canadiens,6,W,summary
11-Mar-98,1997-98,Vancouver Canucks,2,@,Montreal Canadiens,2,T,summary
12-Mar-98,1997-98,New York Rangers,1,@,Montreal Canadiens,4,W,summary
14-Mar-98,1997-98,New Jersey Devils,2,@,Montreal Canadiens,4,W,summary
16-Mar-98,1997-98,Calgary Flames,3,@,Montreal Canadiens,3,T,summary
18-Mar-98,1997-98,Montreal Canadiens,1,@,New York Rangers,2,L (OT),summary
19-Mar-98,1997-98,Montreal Canadiens,0,@,Chicago Blackhawks,1,L,summary
21-Mar-98,1997-98,Anaheim Mighty Ducks,5,@,Montreal Canadiens,4,L,summary
25-Mar-98,1997-98,Montreal Canadiens,2,@,Tampa Bay Lightning,1,W (OT),summary
26-Mar-98,1997-98,Montreal Canadiens,4,@,Florida Panthers,5,L,summary
28-Mar-98,1997-98,Tampa Bay Lightning,2,@,Montreal Canadiens,8,W,summary
31-Mar-98,1997-98,Montreal Canadiens,3,@,Carolina Hurricanes,3,T,summary
1-Apr-98,1997-98,Montreal Canadiens,4,@,Florida Panthers,3,W,summary
4-Apr-98,1997-98,Carolina Hurricanes,1,@,Montreal Canadiens,0,L,summary
6-Apr-98,1997-98,Montreal Canadiens,2,@,Washington Capitals,2,T,summary
7-Apr-98,1997-98,Montreal Canadiens,3,@,New York Rangers,2,W,summary
10-Apr-98,1997-98,Montreal Canadiens,1,@,Buffalo Sabres,2,L,summary
11-Apr-98,1997-98,New York Islanders,3,@,Montreal Canadiens,3,T,summary
15-Apr-98,1997-98,Boston Bruins,6,@,Montreal Canadiens,2,L,summary
16-Apr-98,1997-98,Montreal Canadiens,2,@,Ottawa Senators,0,W,summary
18-Apr-98,1997-98,Buffalo Sabres,3,@,Montreal Canadiens,3,T,summary
"Sam./Sat., 10 Oct. 1998",1998-99,New York Rangers,1,@,Montreal Canadiens,7,W,summary
"Mar./Tue., 13 Oct. 1998",1998-99,Anaheim Mighty Ducks,0,@,Montreal Canadiens,1,W,summary
"Friday, October 16, 1998",1998-99,Montreal Canadiens,2,@,Washington Capitals,2,T,summary
"Sam./Sat., 17 Oct. 1998",1998-99,Buffalo Sabres,4,@,Montreal Canadiens,3,L,summary
"Lun./Mon., 19 Oct. 1998",1998-99,Chicago Blackhawks,2,@,Montreal Canadiens,1,L,summary
"Mer./Wed., 21 Oct. 1998",1998-99,Ottawa Senators,2,@,Montreal Canadiens,3,W,summary
"Sam./Sat., 24 Oct. 1998",1998-99,Detroit Red Wings,3,@,Montreal Canadiens,0,L,summary
"Mer./Wed., 28 Oct. 1998",1998-99,Boston Bruins,9,@,Montreal Canadiens,2,L,summary
"Thursday, October 29, 1998",1998-99,Montreal Canadiens,1,@,Boston Bruins,1,T,summary
"Saturday, October 31, 1998",1998-99,Montreal Canadiens,1,@,Ottawa Senators,5,L,summary
"Wednesday, November 4, 1998",1998-99,Montreal Canadiens,4,@,New York Rangers,1,W,summary
"Sam./Sat., 7 Nov. 1998",1998-99,New York Islanders,2,@,Montreal Canadiens,4,W,summary
"Lun./Mon., 9 Nov. 1998",1998-99,Philadelphia Flyers,1,@,Montreal Canadiens,5,W,summary
"Wednesday, November 11, 1998",1998-99,Montreal Canadiens,0,@,New Jersey Devils,3,L,summary
"Thursday, November 12, 1998",1998-99,Montreal Canadiens,0,@,New York Islanders,4,L,summary
"Saturday, November 14, 1998",1998-99,Edmonton Oilers,4,@,Montreal Canadiens,1,L,summary
"Tuesday, November 17, 1998",1998-99,Montreal Canadiens,4,@,Carolina Hurricanes,5,L,summary
"Thursday, November 19, 1998",1998-99,Calgary Flames,3,@,Montreal Canadiens,4,W,summary
"Saturday, November 21, 1998",1998-99,Colorado Avalanche,3,@,Montreal Canadiens,2,L,summary
"Friday, November 27, 1998",1998-99,Montreal Canadiens,1,@,Boston Bruins,5,L,summary
"Saturday, November 28, 1998",1998-99,Pittsburgh Penguins,4,@,Montreal Canadiens,3,L,summary
"Monday, November 30, 1998",1998-99,Los Angeles Kings,1,@,Montreal Canadiens,3,W,summary
"Wednesday, December 2, 1998",1998-99,Montreal Canadiens,1,@,Carolina Hurricanes,4,L,summary
"Friday, December 4, 1998",1998-99,Montreal Canadiens,1,@,New Jersey Devils,1,T,summary
"Saturday, December 5, 1998",1998-99,Toronto Maple Leafs,4,@,Montreal Canadiens,3,L (OT),summary
"Wednesday, December 9, 1998",1998-99,Montreal Canadiens,2,@,Phoenix Coyotes,4,L,summary
"Friday, December 11, 1998",1998-99,Montreal Canadiens,2,@,Dallas Stars,3,L,summary
"Saturday, December 12, 1998",1998-99,Montreal Canadiens,2,@,Nashville Predators,2,T,summary
"Lun./Mon., 14 Dec. 1998",1998-99,Phoenix Coyotes,2,@,Montreal Canadiens,2,T,summary
"Friday, December 18, 1998",1998-99,Montreal Canadiens,2,@,Buffalo Sabres,4,L,summary
"Sam./Sat., 19 Dec. 1998",1998-99,New Jersey Devils,1,@,Montreal Canadiens,1,T,summary
"Lun./Mon., 21 Dec. 1998",1998-99,Dallas Stars,2,@,Montreal Canadiens,2,T,summary
"Wednesday, December 23, 1998",1998-99,Montreal Canadiens,1,@,Ottawa Senators,3,L,summary
"Saturday, December 26, 1998",1998-99,Montreal Canadiens,2,@,Toronto Maple Leafs,1,W,summary
"Tuesday, December 29, 1998",1998-99,Montreal Canadiens,5,@,Edmonton Oilers,2,W,summary
"Thursday, December 31, 1998",1998-99,Montreal Canadiens,2,@,Calgary Flames,1,W,summary
"Saturday, January 2, 1999",1998-99,Montreal Canadiens,2,@,Vancouver Canucks,1,W,summary
"Monday, January 4, 1999",1998-99,Montreal Canadiens,3,@,Colorado Avalanche,4,L,summary
"Jeu./Thu., 7 Jan. 1999",1998-99,Tampa Bay Lightning,1,@,Montreal Canadiens,4,W,summary
"Sam./Sat., 9 Jan. 1999",1998-99,New York Islanders,2,@,Montreal Canadiens,3,W,summary
"Lun./Mon., 11 Jan. 1999",1998-99,St Louis Blues,1,@,Montreal Canadiens,3,W,summary
"Tuesday, January 12, 1999",1998-99,Montreal Canadiens,1,@,Detroit Red Wings,5,L,summary
"Friday, January 15, 1999",1998-99,Montreal Canadiens,3,@,Washington Capitals,0,W,summary
"Sam./Sat., 16 Jan. 1999",1998-99,New York Rangers,0,@,Montreal Canadiens,3,W,summary
"Lun./Mon., 18 Jan. 1999",1998-99,Washington Capitals,4,@,Montreal Canadiens,4,T,summary
"Thursday, January 21, 1999",1998-99,Montreal Canadiens,0,@,Chicago Blackhawks,3,L,summary
"Tuesday, January 26, 1999",1998-99,Montreal Canadiens,2,@,Tampa Bay Lightning,1,W,summary
"Wednesday, January 27, 1999",1998-99,Montreal Canadiens,1,@,Florida Panthers,2,L,summary
"Sam./Sat., 30 Jan. 1999",1998-99,Carolina Hurricanes,3,@,Montreal Canadiens,1,L,summary
"Dim./Sun., 31 Jan. 1999",1998-99,Pittsburgh Penguins,5,@,Montreal Canadiens,3,L,summary
"Mer./Wed., 3 Fev./Feb. 1999",1998-99,Vancouver Canucks,1,@,Montreal Canadiens,2,W,summary
"Thursday, February 4, 1999",1998-99,Montreal Canadiens,2,@,Philadelphia Flyers,5,L,summary
"Sam./Sat., 6 Fev./Feb. 1999",1998-99,Buffalo Sabres,2,@,Montreal Canadiens,3,W,summary
"Tuesday, February 9, 1999",1998-99,Montreal Canadiens,2,@,Pittsburgh Penguins,3,L (OT),summary
"Thursday, February 11, 1999",1998-99,Montreal Canadiens,2,@,Buffalo Sabres,5,L,summary
"Sam./Sat., 13 Fev./Feb. 1999",1998-99,Florida Panthers,0,@,Montreal Canadiens,4,W,summary
"Wednesday, February 17, 1999",1998-99,Montreal Canadiens,6,@,New York Rangers,3,W,summary
"Thursday, February 18, 1999",1998-99,Montreal Canadiens,3,@,Philadelphia Flyers,1,W,summary
"Saturday, February 20, 1999",1998-99,Montreal Canadiens,2,@,Toronto Maple Leafs,3,L (OT),summary
"Thursday, February 25, 1999",1998-99,Montreal Canadiens,1,@,Ottawa Senators,3,L,summary
"Sam./Sat., 27 Fev./Feb. 1999",1998-99,Ottawa Senators,1,@,Montreal Canadiens,4,W,summary
"Mar./Tue., 2 Mar. 1999",1998-99,Philadelphia Flyers,1,@,Montreal Canadiens,4,W,summary
"Wednesday, March 3, 1999",1998-99,Montreal Canadiens,4,@,Pittsburgh Penguins,4,T,summary
"Sam./Sat., 6 Mar. 1999",1998-99,Tampa Bay Lightning,6,@,Montreal Canadiens,1,L,summary
"Lun./Mon., 8 Mar. 1999",1998-99,Florida Panthers,5,@,Montreal Canadiens,2,L,summary
"Thursday, March 11, 1999",1998-99,Montreal Canadiens,3,@,St Louis Blues,0,W,summary
"Sam./Sat., 13 Mar. 1999",1998-99,Toronto Maple Leafs,1,@,Montreal Canadiens,2,W,summary
"Jeu./Thu., 18 Mar. 1999",1998-99,Nashville Predators,2,@,Montreal Canadiens,3,W,summary
"Sam./Sat., 20 Mar. 1999",1998-99,Washington Capitals,1,@,Montreal Canadiens,0,L,summary
"Lun./Mon., 22 Mar. 1999",1998-99,San Jose Sharks,1,@,Montreal Canadiens,1,T,summary
"Wednesday, March 24, 1999",1998-99,Montreal Canadiens,2,@,Edmonton Oilers,0,W,summary
"Thursday, March 25, 1999",1998-99,Montreal Canadiens,1,@,Calgary Flames,2,L,summary
"Saturday, March 27, 1999",1998-99,Montreal Canadiens,1,@,Vancouver Canucks,5,L,summary
"Jeu./Thu., 1 Avr./Apr. 1999",1998-99,Boston Bruins,3,@,Montreal Canadiens,2,L,summary
"Sam./Sat., 3 Avr./Apr. 1999",1998-99,Buffalo Sabres,1,@,Montreal Canadiens,2,W,summary
"Monday, April 5, 1999",1998-99,Montreal Canadiens,0,@,Boston Bruins,3,L,summary
"Mer./Wed., 7 Avr./Apr. 1999",1998-99,Carolina Hurricanes,0,@,Montreal Canadiens,2,W,summary
"Thursday, April 8, 1999",1998-99,Montreal Canadiens,1,@,New York Islanders,3,L,summary
"Sam./Sat., 10 Avr./Apr. 1999",1998-99,New Jersey Devils,6,@,Montreal Canadiens,2,L,summary
"Tuesday, April 13, 1999",1998-99,Montreal Canadiens,2,@,Tampa Bay Lightning,2,T,summary
"Wednesday, April 14, 1999",1998-99,Montreal Canadiens,2,@,Florida Panthers,3,L (OT),summary
"Sam./Sat., 17 Avr./Apr. 1999",1998-99,Toronto Maple Leafs,2,@,Montreal Canadiens,3,W,summary
"Friday, October 6, 2000",2000-01,Montreal Canadiens,4,@,New Jersey Devils,8,L,summary
"Saturday, October 7, 2000",2000-01,Montreal Canadiens,0,@,Toronto Maple Leafs,2,L,summary
"Mar./Tue., 10 Oct. 2000",2000-01,Edmonton Oilers,2,@,Montreal Canadiens,5,W,summary
"Wednesday, October 11, 2000",2000-01,Montreal Canadiens,1,@,New York Rangers,3,L,summary
"Sam./Sat., 14 Oct. 2000",2000-01,Chicago Blackhawks,4,@,Montreal Canadiens,5,W (OT),summary
"Mar./Tue., 17 Oct. 2000",2000-01,Buffalo Sabres,3,@,Montreal Canadiens,4,W,summary
"Thursday, October 19, 2000",2000-01,Montreal Canadiens,3,@,Philadelphia Flyers,3,T,summary
"Sam./Sat., 21 Oct. 2000",2000-01,Carolina Hurricanes,2,@,Montreal Canadiens,5,W,summary
"Mar./Tue., 24 Oct. 2000",2000-01,Minnesota Wild,2,@,Montreal Canadiens,2,T,summary
"Friday, October 27, 2000",2000-01,Montreal Canadiens,1,@,New York Islanders,2,L,summary
"Sam./Sat., 28 Oct. 2000",2000-01,New York Islanders,2,@,Montreal Canadiens,1,L,summary
"Mer./Wed., 1 Nov. 2000",2000-01,Detroit Red Wings,4,@,Montreal Canadiens,2,L,summary
"Friday, November 3, 2000",2000-01,Montreal Canadiens,4,@,Buffalo Sabres,5,L,summary
"Sam./Sat., 4 Nov. 2000",2000-01,New York Rangers,5,@,Montreal Canadiens,2,L,summary
"Wednesday, November 8, 2000",2000-01,Montreal Canadiens,4,@,Florida Panthers,2,W,summary
"Friday, November 10, 2000",2000-01,Montreal Canadiens,1,@,Tampa Bay Lightning,3,L,summary
"Saturday, November 11, 2000",2000-01,Montreal Canadiens,0,@,Dallas Stars,2,L,summary
"Mar./Tue., 14 Nov. 2000",2000-01,Tampa Bay Lightning,1,@,Montreal Canadiens,0,L,summary
"Friday, November 17, 2000",2000-01,Montreal Canadiens,3,@,Washington Capitals,4,L,summary
"Sam./Sat., 18 Nov. 2000",2000-01,Toronto Maple Leafs,6,@,Montreal Canadiens,1,L,summary
"Mar./Tue., 21 Nov. 2000",2000-01,Florida Panthers,4,@,Montreal Canadiens,1,L,summary
"Thursday, November 23, 2000",2000-01,Montreal Canadiens,6,@,Atlanta Thrashers,0,W,summary
"Sam./Sat., 25 Nov. 2000",2000-01,Buffalo Sabres,5,@,Montreal Canadiens,3,L,summary
"Lun./Mon., 27 Nov. 2000",2000-01,Atlanta Thrashers,2,@,Montreal Canadiens,3,W,summary
"Wednesday, November 29, 2000",2000-01,Montreal Canadiens,3,@,Edmonton Oilers,2,W,summary
"Thursday, November 30, 2000",2000-01,Montreal Canadiens,4,@,Vancouver Canucks,3,W,summary
"Saturday, December 2, 2000",2000-01,Montreal Canadiens,1,@,Calgary Flames,1,T,summary
"Mar./Tue., 5 Dec. 2000",2000-01,Buffalo Sabres,3,@,Montreal Canadiens,2,L,summary
"Friday, December 8, 2000",2000-01,Montreal Canadiens,0,@,Ottawa Senators,1,L,summary
"Sam./Sat., 9 Dec. 2000",2000-01,Ottawa Senators,4,@,Montreal Canadiens,2,L,summary
"Mer./Wed., 13 Dec. 2000",2000-01,Calgary Flames,3,@,Montreal Canadiens,1,L,summary
"Friday, December 15, 2000",2000-01,Montreal Canadiens,1,@,New Jersey Devils,2,L,summary
"Sam./Sat., 16 Dec. 2000",2000-01,Pittsburgh Penguins,4,@,Montreal Canadiens,4,T,summary
"Lun./Mon., 18 Dec. 2000",2000-01,Columbus Blue Jackets,2,@,Montreal Canadiens,0,L,summary
"Jeu./Thu., 21 Dec. 2000",2000-01,Nashville Predators,2,@,Montreal Canadiens,4,W,summary
"Sam./Sat., 23 Dec. 2000",2000-01,Toronto Maple Leafs,5,@,Montreal Canadiens,2,L,summary
"Wednesday, December 27, 2000",2000-01,Montreal Canadiens,2,@,Vancouver Canucks,3,L,summary
"Saturday, December 30, 2000",2000-01,Montreal Canadiens,2,@,Edmonton Oilers,3,L (OT),summary
"Sunday, December 31, 2000",2000-01,Montreal Canadiens,4,@,Calgary Flames,5,L (OT),summary
"Tuesday, January 2, 2001",2000-01,Montreal Canadiens,3,@,New York Islanders,0,W,summary
"Friday, January 5, 2001",2000-01,Montreal Canadiens,4,@,Pittsburgh Penguins,3,W,summary
"Saturday, January 6, 2001",2000-01,Montreal Canadiens,3,@,Ottawa Senators,4,L,summary
"Mer./Wed., 10 Jan. 2001",2000-01,Boston Bruins,2,@,Montreal Canadiens,1,L,summary
"Friday, January 12, 2001",2000-01,Montreal Canadiens,3,@,Atlanta Thrashers,0,W,summary
"Sam./Sat., 13 Jan. 2001",2000-01,Phoenix Coyotes,2,@,Montreal Canadiens,5,W,summary
"Mar./Tue., 16 Jan. 2001",2000-01,Carolina Hurricanes,3,@,Montreal Canadiens,2,L (OT),summary
"Jeu./Thu., 18 Jan. 2001",2000-01,Tampa Bay Lightning,1,@,Montreal Canadiens,3,W,summary
"Sam./Sat., 20 Jan. 2001",2000-01,New York Rangers,2,@,Montreal Canadiens,2,T,summary
"Mar./Tue., 23 Jan. 2001",2000-01,St Louis Blues,5,@,Montreal Canadiens,2,L,summary
"Wednesday, January 24, 2001",2000-01,Montreal Canadiens,1,@,Pittsburgh Penguins,3,L,summary
"Sam./Sat., 27 Jan. 2001",2000-01,Washington Capitals,2,@,Montreal Canadiens,4,W,summary
"Dim./Sun., 28 Jan. 2001",2000-01,Ottawa Senators,1,@,Montreal Canadiens,4,W,summary
"Wednesday, January 31, 2001",2000-01,Montreal Canadiens,2,@,New York Rangers,4,L,summary
"Thursday, February 1, 2001",2000-01,Montreal Canadiens,3,@,Boston Bruins,0,W,summary
"Mar./Tue., 6 Fev./Feb. 2001",2000-01,New Jersey Devils,4,@,Montreal Canadiens,0,L,summary
"Sam./Sat., 10 Fev./Feb. 2001",2000-01,New York Islanders,3,@,Montreal Canadiens,5,W,summary
"Sunday, February 11, 2001",2000-01,Montreal Canadiens,4,@,Buffalo Sabres,3,W,summary
"Mar./Tue., 13 Fev./Feb. 2001",2000-01,Colorado Avalanche,3,@,Montreal Canadiens,2,L (OT),summary
